adj_amb,cond_group,item,verb_bias,explanation,pronoun,pronoun_type,new_sent,question_answers,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,adj,german_adj_freq,german_adj_length,verb,german_verb_freq,german_verb_length,Susanne_avgRating_Score,story,question,left,right,left_pronoun,right_pronoun,correct
nonamb,1,1,NP1,NP1-Causality,er,nonamb,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störungen verursachte.",Wann war er unüberhörbar? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,unüberhörbar,0.94,12,regte,0.11,8,68.75,"Der_Schüler regte die_Lehrerin_auf,
weil_er am_frühen_Morgen unüberhörbar_war und Störungen verursachte.",Wann war er unüberhörbar?,am frühen Morgen,in der Nacht,er,er,F
nonamb,2,1,NP1,NP1-Causality,er,nonamb,"Der Schüler regte den Lehrer auf, weil er am frühen Morgen unüberhörbar war und Störungen verursachte.",Wann war er unüberhörbar? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,unüberhörbar,0.94,12,regte,0.11,8,68.75,"Der_Schüler regte den_Lehrer_auf,
weil_er am_frühen_Morgen unüberhörbar_war und Störungen verursachte.",Wann war er unüberhörbar?,am frühen Morgen,in der Nacht,er,er,F
nonamb,3,1,NP1,NP1-Causality,sie,nonamb,"Die Schülerin regte die Lehrerin auf, weil sie am frühen Morgen unüberhörbar war und Störungen verursachte.",Wann war sie unüberhörbar? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,unüberhörbar,0.94,12,regte,0.11,8,68.75,"Die_Schülerin regte die_Lehrerin_auf,
weil_sie am_frühen_Morgen unüberhörbar_war und Störungen verursachte.",Wann war sie unüberhörbar?,am frühen Morgen,in der Nacht,er,er,F
nonamb,4,1,NP1,NP1-Causality,sie,nonamb,"Die Schülerin regte den Lehrer auf, weil sie am frühen Morgen unüberhörbar war und Störungen verursachte.",Wann war sie unüberhörbar? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,unüberhörbar,0.94,12,regte,0.11,8,68.75,"Die_Schülerin regte den_Lehrer_auf,
weil_sie am_frühen_Morgen unüberhörbar_war und Störungen verursachte.",Wann war sie unüberhörbar?,am frühen Morgen,in der Nacht,er,er,F
nonamb,5,1,NP1,NP2-Causality,sie,nonamb,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",Wann war sie müde? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,gereizt,3.14,7,regte,0.11,8,68.75,"Der_Schüler regte die_Lehrerin_auf,
weil_sie am_frühen_Morgen müde_war und die_Geduld fehlte.",Wann war sie müde?,am frühen Morgen,in der Nacht,er,er,F
nonamb,6,1,NP1,NP2-Causality,er,nonamb,"Der Schüler regte den Lehrer auf, weil er am frühen Morgen müde war und die Geduld fehlte.",Wann war er müde? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,gereizt,3.14,7,regte,0.11,8,68.75,"Der_Schüler regte den_Lehrer_auf,
weil_er am_frühen_Morgen müde_war und die_Geduld fehlte.",Wann war er müde?,am frühen Morgen,in der Nacht,er,er,F
nonamb,7,1,NP1,NP2-Causality,sie,nonamb,"Die Schülerin regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",Wann war sie müde? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,gereizt,3.14,7,regte,0.11,8,68.75,"Die_Schülerin regte die_Lehrerin_auf,
weil_sie am_frühen_Morgen müde_war und die_Geduld fehlte.",Wann war sie müde?,am frühen Morgen,in der Nacht,er,er,F
nonamb,8,1,NP1,NP2-Causality,er,nonamb,"Die Schülerin regte den Lehrer auf, weil er am frühen Morgen müde war und die Geduld fehlte.",Wann war er müde? (am frühen Morgen / in der Nacht),agitated,StimExp,8,25,-1.36,85,gereizt,3.14,7,regte,0.11,8,68.75,"Die_Schülerin regte den_Lehrer_auf,
weil_er am_frühen_Morgen müde_war und die_Geduld fehlte.",Wann war er müde?,am frühen Morgen,in der Nacht,er,er,F
nonamb,1,2,NP1,NP1-Causality,er,nonamb,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und Knurren von sich gab.",Wer störte die Löwin? (Der Bär / Der Verwandte),annoyed,StimExp,7,268,-2.0,79,aggressiv,19.09,9,störte,2.33,6,87.5,"Der_Bär störte die_Löwin,
weil_er am_späten_Nachmittag aggressiv_war und Knurren von_sich_gab.",Wer störte die Löwin?,Der Bär,Der Verwandte,er,er,F
nonamb,2,2,NP1,NP1-Causality,er,nonamb,"Der Bär störte der Löwe, weil er am späten Nachmittag aggressiv war und Knurren von sich gab.",Wer störte der Löwe? (Der Bär / Der Musiker),annoyed,StimExp,7,268,-2.0,79,aggressiv,19.09,9,störte,2.33,6,87.5,"Der_Bär störte der_Löwe,
weil_er am_späten_Nachmittag aggressiv_war und Knurren von_sich_gab.",Wer störte der Löwe?,Der Bär,Der Musiker,er,er,F
nonamb,3,2,NP1,NP1-Causality,sie,nonamb,"Die Bärin störte die Löwin, weil sie am späten Nachmittag aggressiv war und Knurren von sich gab.",Wer störte die Löwin? (Die Bärin / Die Richterin),annoyed,StimExp,7,268,-2.0,79,aggressiv,19.09,9,störte,2.33,6,87.5,"Die_Bärin störte die_Löwin,
weil_sie am_späten_Nachmittag aggressiv_war und Knurren von_sich_gab.",Wer störte die Löwin?,Die Bärin,Die Richterin,sie,sie,F
nonamb,4,2,NP1,NP1-Causality,sie,nonamb,"Die Bärin störte der Löwe, weil sie am späten Nachmittag aggressiv war und Knurren von sich gab.",Wer störte der Löwe? (Die Bärin / Die Kellnerin),annoyed,StimExp,7,268,-2.0,79,aggressiv,19.09,9,störte,2.33,6,87.5,"Die_Bärin störte der_Löwe,
weil_sie am_späten_Nachmittag aggressiv_war und Knurren von_sich_gab.",Wer störte der Löwe?,Die Bärin,Die Kellnerin,sie,sie,F
nonamb,5,2,NP1,NP2-Causality,sie,nonamb,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",Wer störte die Löwin? (Der Bär / Der Landwirt),annoyed,StimExp,7,268,-2.0,79,erschöpft,10.12,9,störte,2.33,6,87.5,"Der_Bär störte die_Löwin,
weil_sie am_späten_Nachmittag erschöpft_war und Zittern musste.",Wer störte die Löwin?,Der Bär,Der Landwirt,er,er,F
nonamb,6,2,NP1,NP2-Causality,er,nonamb,"Der Bär störte der Löwe, weil er am späten Nachmittag erschöpft war und Zittern musste.",Wer störte der Löwe? (Der Bär / Der Dieb),annoyed,StimExp,7,268,-2.0,79,erschöpft,10.12,9,störte,2.33,6,87.5,"Der_Bär störte der_Löwe,
weil_er am_späten_Nachmittag erschöpft_war und Zittern musste.",Wer störte der Löwe?,Der Bär,Der Dieb,er,er,F
nonamb,7,2,NP1,NP2-Causality,sie,nonamb,"Die Bärin störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",Wer störte die Löwin? (Die Bärin / Die Verkäuferin),annoyed,StimExp,7,268,-2.0,79,erschöpft,10.12,9,störte,2.33,6,87.5,"Die_Bärin störte die_Löwin,
weil_sie am_späten_Nachmittag erschöpft_war und Zittern musste.",Wer störte die Löwin?,Die Bärin,Die Verkäuferin,sie,sie,F
nonamb,8,2,NP1,NP2-Causality,er,nonamb,"Die Bärin störte der Löwe, weil er am späten Nachmittag erschöpft war und Zittern musste.",Wer störte der Löwe? (Die Bärin / Die Taxifahrerin),annoyed,StimExp,7,268,-2.0,79,erschöpft,10.12,9,störte,2.33,6,87.5,"Die_Bärin störte der_Löwe,
weil_er am_späten_Nachmittag erschöpft_war und Zittern musste.",Wer störte der Löwe?,Die Bärin,Die Taxifahrerin,sie,sie,F
nonamb,1,3,NP1,NP1-Causality,er,nonamb,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit aggressiv war und Kratzer hinterließ.",Wen ärgerte der Schäferhund? (die Besitzerin / die Diebin),angered,StimExp,7,11,-2.46,85,unüberhörbar,0.94,12,ärgerte,1.41,7,56.25,"Der_Schäferhund ärgerte die_Besitzerin,
weil_er um_die_Mittagszeit aggressiv_war und Kratzer hinterließ.",Wen ärgerte der Schäferhund?,die Besitzerin,die Diebin,sie,sie,F
nonamb,2,3,NP1,NP1-Causality,er,nonamb,"Der Schäferhund ärgerte der Besitzer, weil er um die Mittagszeit aggressiv war und Kratzer hinterließ.",Wem ärgerte der Schäferhund? (der Besitzer / den Patient),angered,StimExp,7,11,-2.46,85,unüberhörbar,0.94,12,ärgerte,1.41,7,56.25,"Der_Schäferhund ärgerte der_Besitzer,
weil_er um_die_Mittagszeit aggressiv_war und Kratzer hinterließ.",Wem ärgerte der Schäferhund?,der Besitzer,den Patient,er,er,F
nonamb,3,3,NP1,NP1-Causality,sie,nonamb,"Die Schäferhündin ärgerte die Besitzerin, weil sie um die Mittagszeit aggressiv war und Kratzer hinterließ.",Wen ärgerte die Schäferhündin? (die Besitzerin / die Professorin),angered,StimExp,7,11,-2.46,85,unüberhörbar,0.94,12,ärgerte,1.41,7,56.25,"Die_Schäferhündin ärgerte die_Besitzerin,
weil_sie um_die_Mittagszeit aggressiv_war und Kratzer hinterließ.",Wen ärgerte die Schäferhündin?,die Besitzerin,die Professorin,sie,sie,F
nonamb,4,3,NP1,NP1-Causality,sie,nonamb,"Die Schäferhündin ärgerte der Besitzer, weil sie um die Mittagszeit aggressiv war und Kratzer hinterließ.",Wem ärgerte die Schäferhündin? (der Besitzer / dem Onkel),angered,StimExp,7,11,-2.46,85,unüberhörbar,0.94,12,ärgerte,1.41,7,56.25,"Die_Schäferhündin ärgerte der_Besitzer,
weil_sie um_die_Mittagszeit aggressiv_war und Kratzer hinterließ.",Wem ärgerte die Schäferhündin?,der Besitzer,dem Onkel,er,er,F
nonamb,5,3,NP1,NP2-Causality,sie,nonamb,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",Wen ärgerte der Schäferhund? (die Besitzerin / die Touristin),angered,StimExp,7,11,-2.46,85,überdrüssig,0.92,11,ärgerte,1.41,7,56.25,"Der_Schäferhund ärgerte die_Besitzerin,
weil_sie um_die_Mittagszeit überdrüssig_war und Müdigkeit empfand.",Wen ärgerte der Schäferhund?,die Besitzerin,die Touristin,sie,sie,F
nonamb,6,3,NP1,NP2-Causality,er,nonamb,"Der Schäferhund ärgerte der Besitzer, weil er um die Mittagszeit überdrüssig war und Müdigkeit empfand.",Wem ärgerte der Schäferhund? (der Besitzer / den Puppenspieler),angered,StimExp,7,11,-2.46,85,überdrüssig,0.92,11,ärgerte,1.41,7,56.25,"Der_Schäferhund ärgerte der_Besitzer,
weil_er um_die_Mittagszeit überdrüssig_war und Müdigkeit empfand.",Wem ärgerte der Schäferhund?,der Besitzer,den Puppenspieler,er,er,F
nonamb,7,3,NP1,NP2-Causality,sie,nonamb,"Die Schäferhündin ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",Wen ärgerte die Schäferhündin? (die Besitzerin / der Frau etwas),angered,StimExp,7,11,-2.46,85,überdrüssig,0.92,11,ärgerte,1.41,7,56.25,"Die_Schäferhündin ärgerte die_Besitzerin,
weil_sie um_die_Mittagszeit überdrüssig_war und Müdigkeit empfand.",Wen ärgerte die Schäferhündin?,die Besitzerin,der Frau etwas,sie,er,F
